genotype,yield_t_ha,disease_score_1_9,days_to_maturity,vigor_score_1_9
AIBREED_G047,21.328,3.872,88.694,6.384
AIBREED_G048,22.765,2.741,82.238,7.961
AIBREED_G049,23.494,3.109,82.976,6.852
AIBREED_G050,24.392,3.456,85.491,7.521
AIBREED_G051,25.397,2.851,82.556,8.141
AIBREED_G052,22.28,3.17,82.081,7.859
AIBREED_G053,22.76,3.897,84.429,6.702
AIBREED_G054,24.538,3.301,79.3,8.227
AIBREED_G055,25.939,3.617,80.718,7.943
AIBREED_G056,25.307,3.208,85.009,7.063
AIBREED_G057,22.201,2.983,85.27,7.483
AIBREED_G058,25.066,2.691,83.804,7.801
AIBREED_G059,22.385,4.527,87.236,6.454
AIBREED_G060,22.326,3.478,84.127,6.341
AIBREED_G061,22.587,3.063,84.843,7.703
AIBREED_G062,25.941,2.309,82.181,8.894
AIBREED_G063,23.022,3.645,83.792,6.41
AIBREED_G064,24.134,4.165,83.185,6.87
AIBREED_G065,25.865,2.803,84.26,8.26
AIBREED_G066,23.289,2.446,87.655,7.003
AIBREED_G067,23.813,2.889,83.465,6.434
AIBREED_G068,23.227,3.665,85.366,6.829
AIBREED_G069,24.709,3.19,90.586,7.371
AIBREED_G070,21.963,2.648,83.28,7.165
AIBREED_G071,25.817,4.092,84.233,7.585
AIBREED_G072,22.829,2.464,84.234,7.027
AIBREED_G073,26.154,2.687,85.473,8.016
AIBREED_G074,22.502,3.092,81.689,7.505
AIBREED_G075,25.209,2.262,84.978,6.949
AIBREED_G076,23.969,4.217,82.202,8.127
AIBREED_G077,24.619,2.767,85.513,7.36
AIBREED_G078,25.672,2.593,86.267,7.264
AIBREED_G079,22.624,3.462,85.364,6.993
AIBREED_G080,24.329,3.714,85.68,6.136
AIBREED_G081,22.097,3.085,84.908,6.624
AIBREED_G082,22.923,4.495,82.99,7.21
AIBREED_G083,23.312,4.062,84.472,6.469
AIBREED_G084,24.589,3.183,81.954,6.959
AIBREED_G085,23.508,4.033,87.317,7.12
AIBREED_G086,23.675,2.687,86.625,6.582
AIBREED_G087,22.323,2.895,84.325,7.302
AIBREED_G088,25.905,2.698,82.719,7.964
AIBREED_G089,23.54,3.272,83.791,7.353
AIBREED_G090,22.847,1.641,81.57,6.722
AIBREED_G091,26.433,3.476,83.9,7.378
AIBREED_G092,24.397,4.25,82.899,8.198
AIBREED_G093,23.126,3.697,86.926,5.891
AIBREED_G094,22.436,2.596,86.371,6.507
AIBREED_G095,24.369,2.873,84.456,6.542
AIBREED_G096,23.048,3.731,83.303,7.178
AIBREED_G097,23.263,3.339,81.486,7.15
AIBREED_G098,23.981,3.073,85.838,6.52
AIBREED_G099,23.267,4.195,82.015,7.226
AIBREED_G100,24.781,2.702,85.665,6.937
AIBREED_G101,23.302,2.566,83.37,6.506
AIBREED_G102,24.583,4.908,85.379,7.197
AIBREED_G103,25.134,2.725,81.126,6.975
AIBREED_G104,24.869,3.417,83.116,6.931
AIBREED_G105,24.023,4.28,81.334,6.565
AIBREED_G106,24.733,3.3,85.423,6.978
AIBREED_G107,21.688,3.631,85.897,6.754
AIBREED_G108,23.639,2.98,83.892,6.674
AIBREED_G109,25.038,3.171,84.082,6.637
AIBREED_G110,23.951,3.075,84.135,7.034
AIBREED_G111,25.867,2.296,83.728,7.277
AIBREED_G112,21.566,2.951,80.24,7.55
AIBREED_G113,24.875,2.775,84.021,6.994
AIBREED_G114,23.731,3.441,80.037,7.085
AIBREED_G115,24.897,2.889,82.949,6.739
AIBREED_G116,22.799,4.036,82.637,6.33
AIBREED_G117,23.035,3.458,88.961,7.947
AIBREED_G118,24.72,2.895,84.921,7.852
AIBREED_G119,23.116,2.727,85.514,6.42
AIBREED_G120,25.075,1.923,82.931,7.448
AIBREED_G121,26.414,3.936,81.612,6.468
AIBREED_G122,25.121,3.819,83.401,7.312
AIBREED_G123,21.715,3.25,86.436,6.872
AIBREED_G124,23.789,2.831,82.989,7.089
AIBREED_G125,23.275,3.114,82.227,7.979
AIBREED_G126,24.375,2.631,83.992,7.978
AIBREED_G127,23.721,2.622,83.323,8.183
AIBREED_G128,22.824,4.006,85.395,6.567
AIBREED_G129,25.137,3.618,82.169,7.952
AIBREED_G130,24.828,3.484,81.28,7.12
AIBREED_G131,24.459,2.675,81.946,6.778
AIBREED_G132,24.962,3.608,86.971,7.246
AIBREED_G133,23.536,2.939,81.399,7.179
AIBREED_G134,23.028,3.405,85.119,7.52
AIBREED_G135,23.962,2.979,81.944,8.15
AIBREED_G136,24.374,3.855,83.412,7.638
AIBREED_G137,22.841,1.903,85.668,7.156
AIBREED_G138,25.114,2.171,82.685,6.134
AIBREED_G139,23.08,3.81,82.053,6.741
AIBREED_G140,23.125,3.11,87.589,6.488
